Wavelength (nm),Power (W/m2/nm)
339.619,0
340,0
340.381,0
340.762,0
341.143,0
341.524,0
341.904,0
342.285,0
342.666,0
343.046,0
343.427,0
343.807,0
344.188,0
344.568,0
344.949,0
345.329,-0.0075
345.71,-0.0218
346.09,-0.0045
346.47,0.0285
346.85,0.0067
347.23,0.0052
347.611,0.0058
347.991,0.005
348.371,0.0021
348.751,0.0021
349.131,0.0021
349.511,0.0017
349.891,0.0017
350.27,0.0019
350.65,0.0012
351.03,0.0011
351.41,0.0015
351.79,0.0015
352.169,0.0019
352.549,0.0015
352.928,0.0017
353.308,0.0015
353.687,0.0014
354.067,0.0011
354.446,0.0023
354.826,0.0027
355.205,0.0018
355.584,0.0022
355.964,0.0018
356.343,0.0019
356.722,0.0013
357.101,0.0013
357.48,0.0014
357.859,0.0013
358.238,0.0009
358.617,0.0013
358.996,0.0023
359.375,0.0018
359.754,0.0022
360.133,0.0013
360.512,0.0011
360.891,0.0007
361.269,0.0007
361.648,0.0003
362.027,0.0008
362.405,0.0009
362.784,0.0008
363.162,0.0009
363.541,0.0007
363.919,0.0008
364.298,0.0009
364.676,0.0004
365.054,0.0005
365.433,0.0007
365.811,0.001
366.189,0.0006
366.567,0.0012
366.945,0.0013
367.323,0.0018
367.701,0.0011
368.079,0.0015
368.457,0.0008
368.835,0.0004
369.213,0
369.591,0.0005
369.969,0.0003
370.346,0.0005
370.724,0.0008
371.102,0.0006
371.479,0.0003
371.857,0.0007
372.235,0.0009
372.612,0.0007
372.99,0.001
373.367,0.0016
373.744,0.001
374.122,0.001
374.499,0.0005
374.876,0.0007
375.254,-0.0001
375.631,0.0003
376.008,0.0002
376.385,0.0007
376.762,0.0009
377.139,0.0013
377.516,0.0015
377.893,0.0015
378.27,0.0022
378.647,0.002
379.024,0.002
379.4,0.0018
379.777,0.0024
380.154,0.002
380.53,0.0019
380.907,0.0018
381.284,0.0014
381.66,0.0014
382.037,0.0009
382.413,0.001
382.79,0.0009
383.166,0.0014
