Wavelength (nm),Direct normal(W*m-2*nm-1)
416.8446,0.67371
409.33556,0.63384
405.58103,0.58955
401.82651,0.54526
398.07199,0.50096
394.31747,0.45667
390.56295,0.41238
386.80842,0.36809
371.79034,0.33265
364.28129,0.28836
360.52677,0.24407
349.2632,0.19977
337.99964,0.15991
322.98155,0.12004
322.98155,0.07575
311.71798,0.04032
304.20894,-0.00398
431.86269,0.6427
420.59912,0.687
428.10817,0.65156
435.61721,0.69142
439.37173,0.73572
439.37173,0.78001
443.12625,0.8243
446.88078,0.8686
450.6353,0.91289
454.38982,0.95718
469.40791,0.99705
480.67147,1.04134
495.68956,1.01033
495.68956,1.01033
521.97122,1.01033
510.70765,1.0502
683.41567,0.92618
683.41567,0.97047
675.90662,1.01476
664.64306,1.0502
634.60688,1.05906
608.32522,1.0812
563.27096,1.09449
533.23478,1.0812
525.72574,1.04134
593.30714,1.02362
578.28905,1.05906
713.45184,0.99705
705.9428,0.95275
698.43375,0.91732
690.92471,0.87303
720.96089,0.81545
728.46993,0.85974
735.97897,0.90403
739.7335,0.94832
717.20636,0.81987
717.20636,0.86417
717.20636,0.90846
713.45184,0.95275
739.7335,0.96161
762.26063,0.93504
762.26063,0.89074
762.26063,0.84645
766.01515,0.80216
769.76967,0.75786
762.26063,0.71357
766.01515,0.66928
766.01515,0.62499
766.01515,0.58069
762.26063,0.5364
826.0875,0.65599
818.57846,0.70028
814.82394,0.74458
811.06941,0.78887
803.56037,0.83316
799.80585,0.87303
919.95055,0.56297
912.44151,0.60284
904.93247,0.64713
897.42342,0.69142
889.91438,0.73572
882.40533,0.78001
863.63272,0.80216
837.35107,0.78444
833.59655,0.74458
829.84203,0.70028
938.72316,0.22192
946.23221,0.26621
949.98673,0.3105
953.74125,0.3548
961.2503,0.39909
965.00482,0.44338
968.75934,0.48768
980.02291,0.53197
987.53195,0.57626
995.041,0.61613
938.72316,0.23078
934.96864,0.27507
931.21412,0.31936
931.21412,0.36366
931.21412,0.40795
931.21412,0.45224
931.21412,0.49654
927.4596,0.54083
1107.67666,0.37694
1107.67666,0.33265
1107.67666,0.28836
1111.43118,0.24407
1115.1857,0.19977
1115.1857,0.15548
1118.94022,0.11119
1137.71283,0.12004
1126.44927,0.15991
1103.92213,0.3548
1096.41309,0.39909
1088.90405,0.44338
1081.395,0.48768
1073.88596,0.53197
1047.6043,0.57183
1017.56813,0.60727
987.53195,0.62499
1141.46736,0.15991
1148.9764,0.2042
1156.48544,0.24849
1160.23997,0.29279
1167.74901,0.33708
1179.01258,0.37694
1866.09011,-0.01283
1832.29941,0.00931
1802.26324,0.03589
1783.49063,0.07132
1768.47254,0.11119
1749.69993,0.14662
1727.17279,0.16877
1693.3821,0.18648
1663.34592,0.20863
1625.8007,0.20863
1592.01,0.21749
1565.72835,0.24407
1531.93765,0.23521
1516.91956,0.2042
1501.90147,0.15991
1486.88338,0.11562
1468.11077,0.08904
1453.09269,0.05361
1426.81103,0.0226
1400.52938,-0.00398
1362.98416,0.01817
1351.72059,0.05361
1340.45702,0.0979
1340.45702,0.14219
1325.43894,0.18648
1317.92989,0.23078
1314.17537,0.27507
1302.9118,0.31936
1291.64824,0.35923
1261.61206,0.39466
1235.33041,0.41238
1212.80327,0.38137
