Wavelength (nm),BB_Power (W/m2/nm)
339.619,0
340,0
340.381,0
340.762,0
341.143,0
341.524,0
341.904,0
342.285,0
342.666,0
343.046,0
343.427,0
343.807,0
344.188,0
344.568,0
344.949,0
345.329,-0.1032
345.71,-0.1304
346.09,-0.1171
346.47,0.0314
346.85,-0.0016
347.23,-0.0029
347.611,0.0002
347.991,0.0073
348.371,0.011
348.751,0.013
349.131,0.0153
349.511,0.0156
349.891,0.0146
350.27,0.014
350.65,0.0138
351.03,0.0134
351.41,0.0144
351.79,0.0147
352.169,0.0141
352.549,0.0143
352.928,0.0145
353.308,0.0141
353.687,0.0132
354.067,0.0138
354.446,0.0135
354.826,0.0133
355.205,0.0138
355.584,0.0138
355.964,0.0131
356.343,0.0138
356.722,0.0141
357.101,0.0137
357.48,0.0143
357.859,0.0146
358.238,0.0142
358.617,0.0143
358.996,0.0154
359.375,0.0152
359.754,0.0147
360.133,0.0149
360.512,0.0155
360.891,0.0149
361.269,0.0145
361.648,0.015
362.027,0.0153
362.405,0.0146
362.784,0.0146
363.162,0.0147
363.541,0.0143
363.919,0.0147
364.298,0.0147
364.676,0.0148
365.054,0.0152
365.433,0.0158
365.811,0.0155
366.189,0.0153
366.567,0.0148
366.945,0.0147
367.323,0.0144
367.701,0.0141
368.079,0.0145
368.457,0.0144
368.835,0.0146
369.213,0.0148
369.591,0.0153
369.969,0.0149
370.346,0.0154
370.724,0.0157
371.102,0.0158
371.479,0.0158
371.857,0.0169
372.235,0.017
372.612,0.0167
372.99,0.0166
373.367,0.017
373.744,0.0163
374.122,0.0161
374.499,0.0162
374.876,0.0164
375.254,0.0157
375.631,0.0166
376.008,0.0164
376.385,0.0167
376.762,0.0171
377.139,0.0174
377.516,0.0166
377.893,0.0171
378.27,0.0173
378.647,0.0172
379.024,0.0169
379.4,0.0171
379.777,0.0175
380.154,0.0174
380.53,0.0173
380.907,0.0173
381.284,0.017
381.66,0.0168
382.037,0.0167
382.413,0.0165
382.79,0.0167
