Wavelength (nm),MULT_EQE (%)
302.31344,45.947
322.14434,44.922
341.80279,43.704
362.15102,43.543
374.56689,45.883
380.25749,49.569
402.1577,57.871
420.78151,64.987
441.30218,70.788
461.13307,75.436
480.10176,79.731
501.65709,83.193
520.28089,85.596
540.974,87.904
561.14978,89.667
580.46336,90.629
601.6738,91.59
620.12515,91.526
640.81827,91.751
662.89092,92.007
681.68716,91.27
699.44875,90.949
719.62454,90.084
738.59322,89.347
758.94145,88.545
779.97945,87.84
801.53477,86.558
818.26171,85.981
838.0926,84.635
858.78572,83.513
877.23708,82.391
897.41286,80.789
