Wavelength (nm),Power (W/m2/nm)
339.619,0
340,0
340.381,0
340.762,0
341.143,0
341.524,0
341.904,0
342.285,0
342.666,0
343.046,0
343.427,0
343.807,0
344.188,0
344.568,0
344.949,0
345.329,0.0348
345.71,-0.0142
346.09,-0.0732
346.47,0.0359
346.85,0.0078
347.23,0.0049
347.611,0.0043
347.991,0.0024
348.371,0.0003
348.751,0.0001
349.131,0.0006
349.511,-0.0004
349.891,0
350.27,0.0004
350.65,0.0001
351.03,-0.0002
351.41,0.0005
351.79,0.0011
352.169,0.0011
352.549,0.0005
352.928,0.0006
353.308,0.0001
353.687,-0.0003
354.067,-0.0007
354.446,0.0002
354.826,0.0006
355.205,0.0009
355.584,0.0016
355.964,0.0011
356.343,0.0009
356.722,0.0006
357.101,0
357.48,-0.0001
357.859,0.0011
358.238,0.0012
358.617,0.0017
358.996,0.0026
359.375,0.0021
359.754,0.0013
360.133,0.0012
360.512,0.0011
360.891,0.001
361.269,0.0006
361.648,0.0007
362.027,0.0009
362.405,0.0006
362.784,0.0004
363.162,0.0007
363.541,0.0005
363.919,0.0006
364.298,0.0007
364.676,-0.0002
365.054,0.0003
365.433,0.0005
365.811,0.0007
366.189,0.0004
366.567,0.0006
366.945,0.0002
367.323,0.0004
367.701,-0.0001
368.079,0.0002
368.457,0.0005
368.835,0.0006
369.213,0.0007
369.591,0.0011
369.969,0.0006
370.346,0.0004
370.724,0.0005
371.102,-0.0003
371.479,-0.0006
371.857,0.0004
372.235,0.0006
372.612,-0.0001
372.99,0.0002
373.367,0.0006
373.744,-0.0004
374.122,-0.0006
374.499,-0.0002
374.876,-0.0001
375.254,-0.0006
375.631,0.0003
376.008,0.0002
376.385,0.0005
376.762,0.0009
377.139,0.0012
377.516,0.0005
377.893,0.0005
378.27,0.0007
378.647,0.0003
379.024,0.0002
379.4,0.0002
379.777,0.0005
380.154,0.0003
380.53,0.0005
380.907,0.0002
381.284,0.0002
381.66,0.0004
382.037,0.0002
382.413,-0.0001
