Wavelength (nm),Power (W/m2/nm)
339.619,0
340,0
340.381,0
340.762,0
341.143,0
341.524,0
341.904,0
342.285,0
342.666,0
343.046,0
343.427,0
343.807,0
344.188,0
344.568,0
344.949,0
345.329,-0.1022
345.71,-0.1683
346.09,-0.1461
346.47,0.0733
346.85,0.0049
347.23,0.0018
347.611,0.003
347.991,0.0027
348.371,0.0025
348.751,0.0027
349.131,0.0018
349.511,-0.0001
349.891,0.0001
350.27,-0.0006
350.65,-0.0009
351.03,-0.0008
351.41,0.0001
351.79,0.0007
352.169,0.0004
352.549,0.0003
352.928,0.0005
353.308,0.0009
353.687,0
354.067,0.0003
354.446,0.0009
354.826,0.0005
355.205,-0.0003
355.584,0.0004
355.964,0.0004
356.343,0.0008
356.722,0.0007
357.101,0.0009
357.48,0.001
357.859,0.0012
358.238,0.0007
358.617,0.001
358.996,0.0017
359.375,0.001
359.754,0.0007
360.133,0.0004
360.512,0.0006
360.891,0.0004
361.269,0.0008
361.648,0.0012
362.027,0.0014
362.405,0.0006
362.784,0.0008
363.162,0.0015
363.541,0.0026
363.919,0.0041
364.298,0.0053
364.676,0.0042
365.054,0.0042
365.433,0.0036
365.811,0.0023
366.189,0.001
366.567,0.0008
366.945,0
367.323,-0.0006
367.701,-0.0007
368.079,0
368.457,0.0004
368.835,0.0008
369.213,0.0006
369.591,0.0008
369.969,0.0006
370.346,0.0006
370.724,0.0004
371.102,0.0004
371.479,0.0005
371.857,0.0008
372.235,0.0007
372.612,0.0005
372.99,0.0006
373.367,0.0009
373.744,-0.0001
374.122,0.0001
374.499,0.0001
374.876,0
375.254,-0.0005
375.631,0.0005
376.008,0.0002
376.385,0.0005
376.762,0.0008
377.139,0.001
377.516,0.0004
377.893,0.0009
378.27,0.001
378.647,0.0007
379.024,0.0004
379.4,0.0007
379.777,0.0006
380.154,0.0001
380.53,0.0007
380.907,0.0009
381.284,0.0005
381.66,0.0006
382.037,0.0005
382.413,-0.0002
382.79,-0.0001
383.166,0.0004
