# Renewables.ninja Solar PV (Point API) - 64.627, -18.125 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Atlantic/Reykjavik, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Atlantic/Reykjavik", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "64.62733972713417", "lon": "-18.12499999999129", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "0", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2020-01-01 00:00,2020-01-01 00:00,0,0,0,-1.310
2020-01-01 01:00,2020-01-01 01:00,0,0,0,-1.497
2020-01-01 02:00,2020-01-01 02:00,0,0,0,-1.647
2020-01-01 03:00,2020-01-01 03:00,0,0,0,-1.673
2020-01-01 04:00,2020-01-01 04:00,0,0,0,-1.816
2020-01-01 05:00,2020-01-01 05:00,0,0,0,-2.285
2020-01-01 06:00,2020-01-01 06:00,0,0,0,-3.100
2020-01-01 07:00,2020-01-01 07:00,0,0,0,-3.661
2020-01-01 08:00,2020-01-01 08:00,0,0,0,-3.926
2020-01-01 09:00,2020-01-01 09:00,0,0,0,-4.138
2020-01-01 10:00,2020-01-01 10:00,0,0,0,-4.345
2020-01-01 11:00,2020-01-01 11:00,0,0,0,-4.403
2020-01-01 12:00,2020-01-01 12:00,0,0,0.004,-4.301
2020-01-01 13:00,2020-01-01 13:00,0,0,0.005,-4.053
2020-01-01 14:00,2020-01-01 14:00,0,0,0.001,-3.739
2020-01-01 15:00,2020-01-01 15:00,0,0,0,-3.575
2020-01-01 16:00,2020-01-01 16:00,0,0,0,-3.621
2020-01-01 17:00,2020-01-01 17:00,0,0,0,-3.823
2020-01-01 18:00,2020-01-01 18:00,0,0,0,-4.099
2020-01-01 19:00,2020-01-01 19:00,0,0,0,-4.538
2020-01-01 20:00,2020-01-01 20:00,0,0,0,-5.080
2020-01-01 21:00,2020-01-01 21:00,0,0,0,-5.652
2020-01-01 22:00,2020-01-01 22:00,0,0,0,-6.325
2020-01-01 23:00,2020-01-01 23:00,0,0,0,-7.037
2020-01-02 00:00,2020-01-02 00:00,0,0,0,-7.727
2020-01-02 01:00,2020-01-02 01:00,0,0,0,-8.278
2020-01-02 02:00,2020-01-02 02:00,0,0,0,-8.612
2020-01-02 03:00,2020-01-02 03:00,0,0,0,-9.100
2020-01-02 04:00,2020-01-02 04:00,0,0,0,-9.603
2020-01-02 05:00,2020-01-02 05:00,0,0,0,-9.863
2020-01-02 06:00,2020-01-02 06:00,0,0,0,-9.901
2020-01-02 07:00,2020-01-02 07:00,0,0,0,-9.805
2020-01-02 08:00,2020-01-02 08:00,0,0,0,-9.606
2020-01-02 09:00,2020-01-02 09:00,0,0,0,-9.466
2020-01-02 10:00,2020-01-02 10:00,0,0,0,-9.924
2020-01-02 11:00,2020-01-02 11:00,0,0,0.001,-11.007
2020-01-02 12:00,2020-01-02 12:00,0.001,0,0.006,-12.100
2020-01-02 13:00,2020-01-02 13:00,0.002,0,0.008,-12.808
2020-01-02 14:00,2020-01-02 14:00,0,0,0.003,-13.227
2020-01-02 15:00,2020-01-02 15:00,0,0,0,-13.571
2020-01-02 16:00,2020-01-02 16:00,0,0,0,-13.939
2020-01-02 17:00,2020-01-02 17:00,0,0,0,-14.424
2020-01-02 18:00,2020-01-02 18:00,0,0,0,-15.098
2020-01-02 19:00,2020-01-02 19:00,0,0,0,-15.702
2020-01-02 20:00,2020-01-02 20:00,0,0,0,-16.179
2020-01-02 21:00,2020-01-02 21:00,0,0,0,-16.622
2020-01-02 22:00,2020-01-02 22:00,0,0,0,-17.016
2020-01-02 23:00,2020-01-02 23:00,0,0,0,-16.548
2020-01-03 00:00,2020-01-03 00:00,0,0,0,-15.859
2020-01-03 01:00,2020-01-03 01:00,0,0,0,-15.435
2020-01-03 02:00,2020-01-03 02:00,0,0,0,-15.135
2020-01-03 03:00,2020-01-03 03:00,0,0,0,-14.769
2020-01-03 04:00,2020-01-03 04:00,0,0,0,-14.297
2020-01-03 05:00,2020-01-03 05:00,0,0,0,-14.062
2020-01-03 06:00,2020-01-03 06:00,0,0,0,-14.228
2020-01-03 07:00,2020-01-03 07:00,0,0,0,-14.849
2020-01-03 08:00,2020-01-03 08:00,0,0,0,-15.391
2020-01-03 09:00,2020-01-03 09:00,0,0,0,-15.661
2020-01-03 10:00,2020-01-03 10:00,0,0,0,-15.661
2020-01-03 11:00,2020-01-03 11:00,0,0,0.001,-15.485
2020-01-03 12:00,2020-01-03 12:00,0.002,0,0.009,-15.148
2020-01-03 13:00,2020-01-03 13:00,0.003,0,0.010,-14.725
2020-01-03 14:00,2020-01-03 14:00,0,0,0.004,-14.696
2020-01-03 15:00,2020-01-03 15:00,0,0,0,-14.964
2020-01-03 16:00,2020-01-03 16:00,0,0,0,-15.194
2020-01-03 17:00,2020-01-03 17:00,0,0,0,-15.114
2020-01-03 18:00,2020-01-03 18:00,0,0,0,-14.348
2020-01-03 19:00,2020-01-03 19:00,0,0,0,-13.306
2020-01-03 20:00,2020-01-03 20:00,0,0,0,-12.282
2020-01-03 21:00,2020-01-03 21:00,0,0,0,-11.719
